Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,Conference_Rank,PTS,PTS_Rank,Average_Ticket_Price,Average_Attendance
2021-22,NBA,Los Angeles Clippers,19,18,0.514,3rd of 5,0.2,98.6,0.4,106.7,-2.9,106.4,-3.2,,T. Lue (19-18),I. Zubac (3.7),7th,"4,008",11th,$57 ,"16,407"
2020-21,NBA,Los Angeles Clippers*,47,25,0.653,2nd of 5,6.02,96.9,-2.3,117.6,5.3,111.2,-1.1,Lost W. Conf. Finals,T. Lue (47-25),K. Leonard (8.8),4th,"8,209",10th,$116 ,0
2019-20,NBA,Los Angeles Clippers*,49,23,0.681,2nd of 5,6.66,101.5,1.2,113.9,3.3,107.6,-3,Lost W. Conf. Semis,D. Rivers (49-23),K. Leonard (8.7),2nd,"8,377",5th,$65 ,"19,068"
2018-19,NBA,Los Angeles Clippers*,48,34,0.585,2nd of 5,1.09,101.7,1.7,112.4,2,111.5,1.1,Lost W. Conf. 1st Rnd.,D. Rivers (48-34),M. Harrell (8.7),8th,"9,442",5th,$51 ,"17,325"
2017-18,NBA,Los Angeles Clippers,42,40,0.512,2nd of 5,0.15,98.7,1.4,110.3,1.7,110.2,1.6,,D. Rivers (42-40),D. Jordan (9.4),10th,"8,937",9th,$36 ,"17,019"
2016-17,NBA,Los Angeles Clippers*,51,31,0.622,2nd of 5,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers (51-31),D. Jordan (11.8),4th,"8,911",6th,$38 ,"19,088"
2015-16,NBA,Los Angeles Clippers*,53,29,0.646,2nd of 5,4.13,95.8,0,108.3,1.9,103.8,-2.6,Lost W. Conf. 1st Rnd.,D. Rivers (53-29),C. Paul (12.7),4th,"8,569",7th,$63 ,"19,192"
2014-15,NBA,Los Angeles Clippers*,56,26,0.683,2nd of 5,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,Lost W. Conf. Semis,D. Rivers (56-26),C. Paul (16.1),3rd,"8,751",2nd,$58 ,"19,168"
2013-14,NBA,Los Angeles Clippers*,57,25,0.695,1st of 5,7.27,95.9,2,112.1,5.4,104.8,-1.9,Lost W. Conf. Semis,D. Rivers (57-25),B. Griffin (12.2),3rd,"8,850",1st,$66 ,"19,212"
2012-13,NBA,Los Angeles Clippers*,56,26,0.683,1st of 5,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,Lost W. Conf. 1st Rnd.,V. Del Negro (56-26),C. Paul (13.9),4th,"8,289",9th,$99 ,"19,226"
2011-12,NBA,Los Angeles Clippers*,40,26,0.606,2nd of 5,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,Lost W. Conf. Semis,V. Del Negro (40-26),C. Paul (12.7),5th,"6,438",14th,$73.89 ,"19,219"
2010-11,NBA,Los Angeles Clippers,32,50,0.39,4th of 5,-2.71,92.8,0.7,105.3,-2,108.7,1.4,,V. Del Negro (32-50),B. Griffin (9.8),13th,"8,089",19th,$73.38 ,"17,742"
2009-10,NBA,Los Angeles Clippers,29,53,0.354,3rd of 5,-6.01,92.6,-0.1,103.3,-4.3,110.1,2.5,,"M. Dunleavy (21-28), K. Hughes (8-25)",M. Camby (4.6),12th,"7,849",27th,$51.47 ,"16,343"
2008-09,NBA,Los Angeles Clippers,19,63,0.232,4th of 5,-8.47,92.1,0.4,102.3,-6,111.7,3.4,,M. Dunleavy (19-63),M. Camby (5.2),14th,"7,799",27th,,
2007-08,NBA,Los Angeles Clippers,23,59,0.28,5th of 5,-6.56,92.1,-0.3,101.2,-6.3,109.1,1.6,,M. Dunleavy (23-59),C. Maggette (6.9),12th,"7,692",29th,,
